type,client,tx,amount
deposit,544,203,13
deposit,394,204,18
deposit,234,205,8
deposit,185,206,1
deposit,458,207,2
deposit,119,208,10
withdrawal,936,209,7
withdrawal,311,210,5
deposit,480,211,17
withdrawal,90,212,11
deposit,600,213,13
deposit,762,214,9
withdrawal,602,215,16
deposit,847,216,6
deposit,49,217,0
deposit,519,218,16
deposit,102,219,1
withdrawal,162,220,12
withdrawal,381,221,16
resolve,627,137
deposit,162,223,19
withdrawal,370,224,7
withdrawal,599,225,8
deposit,383,226,15
deposit,464,228,13
deposit,749,229,15
dispute,667,41
deposit,70,231,19
dispute,720,82
deposit,415,233,0
deposit,249,234,11
deposit,973,235,1
withdrawal,165,236,7
deposit,855,237,15
withdrawal,20,238,16
withdrawal,696,239,12
deposit,107,240,18
deposit,19,241,11
withdrawal,985,242,17
deposit,430,243,1
withdrawal,340,244,8
withdrawal,12,245,8
deposit,696,246,10
withdrawal,946,247,7
deposit,339,248,0
deposit,624,249,13
withdrawal,795,250,9
deposit,403,251,14
deposit,73,252,7
deposit,487,253,18
chargeback,667,41
deposit,63,255,4
deposit,904,256,5
resolve,720,82
withdrawal,749,258,9
withdrawal,844,259,10
deposit,711,260,7
deposit,372,261,12
deposit,16,262,9
deposit,239,263,9
withdrawal,87,264,2
withdrawal,151,265,6
withdrawal,236,267,2
dispute,844,259
withdrawal,651,269,13
withdrawal,285,270,13
deposit,170,271,7
deposit,267,272,18
withdrawal,329,273,0
deposit,396,274,12
deposit,273,275,3
dispute,762,200
withdrawal,107,277,14
withdrawal,978,278,17
deposit,155,279,1
withdrawal,238,280,8
deposit,292,281,15
withdrawal,982,282,10
deposit,660,283,17
withdrawal,353,284,14
withdrawal,450,285,9
withdrawal,693,286,19
dispute,497,7
deposit,698,288,5
withdrawal,238,289,1
withdrawal,286,290,17
deposit,885,291,10
deposit,71,292,3
deposit,963,293,7
dispute,113,189
deposit,293,295,12
deposit,912,296,12
deposit,347,297,14
withdrawal,182,298,3
deposit,612,299,6
deposit,214,300,16
withdrawal,854,301,15
withdrawal,18,302,19
withdrawal,761,303,8
deposit,820,304,1
deposit,596,305,11
deposit,745,306,9
deposit,771,307,8
deposit,227,308,14
dispute,396,274
deposit,228,310,7
withdrawal,984,311,1
deposit,194,312,10
deposit,497,313,5
withdrawal,868,314,6
deposit,200,315,18
deposit,217,316,13
withdrawal,875,317,12
deposit,169,318,15
deposit,559,319,18
deposit,613,320,11
withdrawal,103,321,16
deposit,964,322,18
deposit,179,323,19
withdrawal,976,324,9
deposit,485,325,6
resolve,113,189
withdrawal,85,327,19
deposit,961,328,2
withdrawal,468,329,13
deposit,924,330,3
dispute,16,262
deposit,304,332,5
deposit,323,333,18
deposit,236,334,16
withdrawal,588,335,11
withdrawal,754,336,12
deposit,355,337,15
withdrawal,613,338,14
withdrawal,647,339,4
dispute,328,73
deposit,831,341,5
deposit,220,342,12
deposit,273,343,18
deposit,179,344,7
resolve,844,259
withdrawal,561,346,8
deposit,729,347,9
withdrawal,966,348,0
withdrawal,221,349,14
deposit,935,350,18
deposit,790,351,11
chargeback,16,262
withdrawal,248,353,17
deposit,898,354,14
deposit,411,355,3
deposit,430,356,17
withdrawal,560,357,5
withdrawal,813,358,11
withdrawal,898,359,5
resolve,762,200
withdrawal,963,361,2
withdrawal,126,362,6
withdrawal,396,363,19
deposit,292,364,12
deposit,814,365,17
withdrawal,931,366,4
withdrawal,190,367,12
withdrawal,520,368,3
withdrawal,85,369,13
withdrawal,465,370,4
withdrawal,924,371,0
deposit,163,372,7
deposit,397,373,0
deposit,644,374,17
withdrawal,848,375,17
deposit,29,376,9
chargeback,497,7
dispute,141,20
deposit,668,379,19
deposit,674,380,3
chargeback,396,274
withdrawal,227,382,4
deposit,222,383,18
deposit,508,384,19
withdrawal,912,385,0
deposit,109,386,11
deposit,770,387,7
deposit,226,388,17
withdrawal,888,389,19
deposit,534,390,11
deposit,617,391,10
deposit,232,392,15
withdrawal,138,393,13
deposit,274,394,16
deposit,835,395,12
withdrawal,219,396,15
deposit,218,397,14
resolve,328,73
withdrawal,534,399,16
deposit,544,400,17
deposit,394,401,13
withdrawal,728,402,18
deposit,770,403,1
deposit,839,404,14
withdrawal,906,405,10
withdrawal,162,406,7
deposit,752,407,16
withdrawal,701,408,14
withdrawal,375,409,5
deposit,483,410,19
withdrawal,939,411,3
withdrawal,526,412,2
dispute,238,289
withdrawal,610,414,5
withdrawal,291,415,5
withdrawal,911,416,1
deposit,150,417,17
withdrawal,915,418,15
chargeback,141,20
withdrawal,571,420,13
deposit,354,421,3
deposit,336,422,17
deposit,241,423,18
withdrawal,374,424,13
deposit,733,425,18
deposit,510,426,15
withdrawal,954,427,14
deposit,106,428,1
deposit,991,429,19
withdrawal,369,430,12
withdrawal,541,431,11
deposit,917,432,17
deposit,364,433,19
deposit,622,434,1
resolve,238,289
deposit,43,437,12
withdrawal,362,438,7
withdrawal,652,439,6
withdrawal,288,440,13
deposit,666,441,18
deposit,783,442,2
withdrawal,380,443,7
dispute,982,282
deposit,767,445,5
dispute,380,443
withdrawal,106,447,10
withdrawal,180,448,1
dispute,73,252
deposit,166,450,6
withdrawal,284,451,6
deposit,172,452,13
deposit,481,453,14
deposit,397,454,9
deposit,146,455,4
withdrawal,598,456,19
deposit,32,457,4
withdrawal,465,458,13
withdrawal,275,459,18
deposit,377,460,1
deposit,490,461,7
deposit,884,462,0
withdrawal,774,463,2
deposit,625,464,12
deposit,105,465,9
deposit,813,466,8
deposit,659,467,19
chargeback,380,443
deposit,363,469,4
withdrawal,877,470,5
deposit,673,471,1
withdrawal,98,472,14
deposit,619,473,19
withdrawal,527,474,8
withdrawal,892,475,13
chargeback,982,282
withdrawal,316,477,15
withdrawal,499,478,0
deposit,135,479,1
withdrawal,968,480,16
deposit,182,481,12
withdrawal,833,482,18
withdrawal,989,484,0
withdrawal,78,485,17
deposit,958,486,4
withdrawal,632,487,17
deposit,889,488,13
deposit,503,489,12
deposit,82,490,4
deposit,106,491,14
withdrawal,277,492,9
withdrawal,483,493,3
withdrawal,78,494,14
deposit,17,495,13
deposit,821,496,2
deposit,170,497,14
deposit,167,498,12
dispute,162,220
withdrawal,841,500,7
deposit,541,501,7
deposit,625,502,12
withdrawal,234,503,6
withdrawal,192,504,9
dispute,335,46
deposit,859,506,16
deposit,959,507,17
deposit,933,508,7
withdrawal,17,509,6
resolve,73,252
deposit,441,511,3
deposit,678,512,16
deposit,200,513,18
deposit,99,514,9
deposit,271,515,9
withdrawal,921,516,2
deposit,832,517,6
chargeback,162,220
withdrawal,717,519,16
deposit,368,520,19
withdrawal,502,521,9
withdrawal,888,522,2
withdrawal,89,523,18
withdrawal,138,524,1
deposit,907,525,17
deposit,835,526,9
deposit,364,527,16
withdrawal,711,528,10
deposit,912,529,8
deposit,527,530,2
deposit,525,531,6
deposit,322,532,8
deposit,534,533,2
chargeback,335,46
deposit,578,535,2
withdrawal,639,536,18
deposit,432,537,8
deposit,283,538,2
deposit,894,539,17
withdrawal,460,540,1
withdrawal,926,541,13
deposit,17,544,13
withdrawal,725,545,10
deposit,83,546,8
deposit,511,547,15
withdrawal,203,548,18
deposit,165,549,1
deposit,614,550,19
withdrawal,173,551,5
withdrawal,760,552,8
deposit,830,553,7
withdrawal,326,554,8
deposit,578,555,18
withdrawal,516,557,14
dispute,375,409
deposit,215,559,7
deposit,671,560,11
withdrawal,293,561,2
deposit,799,562,16
withdrawal,969,563,8
withdrawal,913,564,3
deposit,363,566,9
deposit,142,567,12
withdrawal,678,568,3
deposit,26,569,19
withdrawal,28,570,4
deposit,959,571,11
deposit,972,572,0
withdrawal,695,573,19
withdrawal,214,574,18
withdrawal,93,575,3
deposit,518,576,16
deposit,29,577,1
dispute,283,538
deposit,384,579,5
deposit,734,580,13
deposit,467,581,13
withdrawal,613,582,9
withdrawal,489,583,16
deposit,727,584,1
withdrawal,258,585,9
chargeback,375,409
withdrawal,360,587,9
deposit,20,588,6
withdrawal,368,589,0
deposit,937,590,6
deposit,507,591,15
withdrawal,553,592,18
deposit,576,593,18
withdrawal,852,594,5
deposit,298,595,17
deposit,933,596,2
withdrawal,159,597,10
deposit,78,598,4
deposit,361,599,6
deposit,550,600,10
withdrawal,518,601,18
withdrawal,595,602,14
withdrawal,393,603,9
deposit,584,604,17
deposit,758,605,11
withdrawal,698,606,1
dispute,717,519
deposit,945,608,11
withdrawal,198,609,16
deposit,843,610,2
deposit,3,611,9
deposit,228,612,8
deposit,681,613,16
withdrawal,349,614,6
deposit,234,615,15
dispute,888,522
chargeback,717,519
withdrawal,269,618,12
withdrawal,946,619,19
withdrawal,449,620,5
deposit,284,621,7
deposit,322,622,10
withdrawal,590,623,0
withdrawal,333,624,2
deposit,740,625,14
deposit,499,626,4
chargeback,283,538
chargeback,888,522
deposit,536,629,1
deposit,931,630,12
withdrawal,619,631,18
withdrawal,695,632,19
withdrawal,496,633,12
dispute,208,132
dispute,138,393
deposit,208,636,17
deposit,957,637,12
withdrawal,616,638,3
deposit,330,639,9
deposit,46,640,10
deposit,382,641,19
withdrawal,26,642,12
deposit,348,643,9
deposit,415,645,17
resolve,208,132
dispute,311,210
withdrawal,758,648,4
withdrawal,236,649,6
withdrawal,590,650,7
withdrawal,861,651,8
chargeback,138,393
withdrawal,233,653,15
deposit,274,654,16
deposit,103,655,16
withdrawal,902,656,6
resolve,311,210
withdrawal,147,658,19
withdrawal,535,659,3
deposit,199,660,2
deposit,491,661,0
deposit,124,662,10
withdrawal,983,663,5
withdrawal,237,664,9
withdrawal,812,665,17
withdrawal,535,666,17
deposit,21,667,2
withdrawal,486,668,18
deposit,232,669,10
deposit,466,670,5
deposit,472,671,10
withdrawal,911,673,19
deposit,436,674,8
withdrawal,31,675,18
dispute,150,417
deposit,443,677,10
deposit,706,678,19
deposit,792,679,14
withdrawal,271,680,0
chargeback,150,417
deposit,975,682,15
deposit,868,683,11
withdrawal,93,684,19
deposit,323,686,10
withdrawal,932,687,12
withdrawal,876,688,15
deposit,649,690,1
deposit,253,691,2
withdrawal,27,692,12
withdrawal,636,693,8
deposit,219,694,4
deposit,773,695,18
deposit,107,696,13
withdrawal,531,697,15
withdrawal,952,698,16
withdrawal,372,699,2
withdrawal,693,700,0
deposit,740,701,11
withdrawal,639,702,3
withdrawal,462,703,17
withdrawal,848,704,17
withdrawal,820,706,13
deposit,787,707,10
deposit,303,709,19
withdrawal,593,710,15
withdrawal,808,711,9
deposit,648,712,1
deposit,697,713,19
deposit,961,714,2
deposit,338,715,10
deposit,605,716,10
deposit,779,717,19
withdrawal,303,718,0
deposit,704,721,17
deposit,500,722,5
withdrawal,803,724,13
deposit,447,726,4
dispute,869,96
withdrawal,648,728,19
withdrawal,503,729,18
withdrawal,435,730,7
deposit,436,731,6
withdrawal,223,732,7
withdrawal,554,733,2
deposit,727,735,16
withdrawal,91,736,7
deposit,203,737,5
deposit,991,738,10
deposit,443,739,19
deposit,648,740,3
deposit,555,741,9
withdrawal,264,742,6
deposit,299,743,12
withdrawal,333,744,18
deposit,408,745,5
withdrawal,63,746,16
withdrawal,823,747,14
deposit,610,748,10
deposit,415,749,18
deposit,227,750,14
withdrawal,8,751,4
deposit,38,752,19
chargeback,869,96
deposit,796,754,8
withdrawal,353,755,14
deposit,805,756,3
withdrawal,533,757,14
deposit,495,758,14
deposit,818,759,18
deposit,35,760,4
deposit,58,761,12
withdrawal,408,762,9
withdrawal,652,763,8
withdrawal,57,764,6
dispute,728,402
deposit,124,766,9
withdrawal,546,767,4
deposit,183,768,3
withdrawal,700,769,1
withdrawal,48,770,13
withdrawal,780,771,13
withdrawal,882,772,12
deposit,821,773,8
deposit,628,774,0
deposit,744,775,7
withdrawal,270,776,3
deposit,976,777,15
deposit,71,778,4
withdrawal,822,779,0
withdrawal,131,780,6
withdrawal,573,781,4
deposit,505,782,3
chargeback,728,402
withdrawal,607,784,0
deposit,147,785,14
withdrawal,789,786,4
deposit,120,787,5
deposit,762,788,2
deposit,568,789,15
withdrawal,422,791,1
withdrawal,513,792,4
withdrawal,169,793,1
deposit,115,794,6
deposit,529,795,1
deposit,618,796,5
withdrawal,471,797,5
withdrawal,747,798,0
deposit,612,799,0
deposit,561,800,1
deposit,966,801,7
withdrawal,615,802,0
deposit,196,803,9
dispute,711,528
withdrawal,315,805,8
dispute,51,101
withdrawal,967,807,6
deposit,353,808,19
deposit,211,809,16
withdrawal,662,810,11
withdrawal,285,811,5
withdrawal,379,812,13
deposit,190,813,3
deposit,336,814,2
resolve,711,528
deposit,549,816,6
deposit,145,817,6
withdrawal,577,818,12
deposit,779,819,4
withdrawal,775,820,6
deposit,252,821,19
withdrawal,247,822,10
deposit,322,823,13
chargeback,51,101
deposit,554,825,19
deposit,511,826,0
withdrawal,81,827,9
deposit,996,828,10
deposit,473,829,11
deposit,743,830,5
withdrawal,217,831,12
withdrawal,520,832,18
dispute,206,91
deposit,39,834,6
deposit,116,835,17
withdrawal,534,836,10
deposit,168,837,3
deposit,470,838,16
deposit,520,839,6
withdrawal,662,840,0
withdrawal,846,842,16
withdrawal,439,843,12
withdrawal,5,844,7
dispute,536,629
deposit,518,846,9
deposit,809,847,7
withdrawal,492,848,12
withdrawal,11,849,2
deposit,466,850,16
withdrawal,15,851,7
deposit,919,852,1
deposit,602,853,5
deposit,194,854,8
withdrawal,444,855,3
withdrawal,355,856,18
deposit,572,857,4
deposit,528,858,7
deposit,915,859,8
withdrawal,276,860,17
deposit,312,861,8
withdrawal,705,862,9
withdrawal,206,863,3
withdrawal,973,864,6
withdrawal,149,865,19
deposit,424,866,18
withdrawal,489,867,9
withdrawal,15,868,1
deposit,532,869,7
deposit,219,870,7
dispute,348,643
deposit,437,872,11
withdrawal,621,873,15
deposit,446,874,12
deposit,875,875,19
deposit,927,876,11
withdrawal,575,877,16
deposit,738,878,19
resolve,206,91
deposit,129,880,6
withdrawal,13,881,19
deposit,53,882,13
chargeback,536,629
withdrawal,648,884,11
deposit,628,885,13
withdrawal,739,886,15
dispute,975,682
withdrawal,336,888,6
withdrawal,465,889,6
withdrawal,105,890,17
withdrawal,808,891,11
withdrawal,499,892,10
deposit,330,893,1
deposit,246,894,1
withdrawal,253,895,9
chargeback,348,643
deposit,234,897,8
withdrawal,809,898,4
deposit,176,899,7
deposit,742,900,3
deposit,125,901,19
deposit,701,902,13
withdrawal,305,903,16
deposit,275,904,13
deposit,80,905,12
deposit,655,906,0
chargeback,975,682
withdrawal,498,908,17
withdrawal,46,909,5
withdrawal,727,910,7
deposit,612,911,1
withdrawal,695,912,11
withdrawal,370,913,10
withdrawal,341,914,14
deposit,221,915,5
deposit,837,916,11
withdrawal,364,917,5
deposit,211,918,14
withdrawal,312,919,2
deposit,911,920,13
deposit,999,921,15
deposit,668,922,12
withdrawal,645,923,6
withdrawal,857,924,11
deposit,732,925,5
deposit,714,926,9
deposit,487,927,1
deposit,614,928,11
deposit,763,929,4
deposit,45,930,9
withdrawal,905,931,16
withdrawal,332,932,1
withdrawal,574,933,12
deposit,25,934,8
deposit,256,935,4
deposit,318,936,17
deposit,942,938,9
deposit,114,939,12
withdrawal,961,941,12
deposit,155,942,17
deposit,796,944,0
deposit,301,945,3
withdrawal,969,946,1
withdrawal,539,947,0
deposit,470,948,19
deposit,218,949,10
withdrawal,54,950,17
withdrawal,583,952,0
deposit,945,955,7
withdrawal,393,956,3
deposit,614,957,3
withdrawal,940,958,12
withdrawal,188,959,2
deposit,479,960,7
withdrawal,771,961,15
deposit,32,962,1
deposit,322,963,3
deposit,269,964,11
withdrawal,200,965,7
deposit,991,966,1
withdrawal,91,967,8
withdrawal,343,968,19
dispute,771,961
withdrawal,692,970,16
withdrawal,88,971,10
deposit,638,972,11
deposit,786,973,11
deposit,366,974,5
withdrawal,537,975,11
deposit,760,976,1
deposit,927,977,14
deposit,305,978,0
deposit,194,979,3
deposit,69,980,1
withdrawal,577,981,4
deposit,759,982,8
withdrawal,554,983,13
withdrawal,201,984,1
deposit,408,985,3
deposit,692,986,2
dispute,632,487
deposit,475,988,7
deposit,384,989,9
deposit,575,990,13
withdrawal,793,991,19
withdrawal,923,992,7
resolve,771,961
deposit,519,994,1
withdrawal,874,995,14
withdrawal,458,996,5
withdrawal,210,997,5
withdrawal,898,998,7
withdrawal,82,999,19
withdrawal,374,1000,12
resolve,632,487
withdrawal,164,1002,19
deposit,319,1003,0
withdrawal,119,1004,2
withdrawal,770,1006,16
withdrawal,839,1007,7
withdrawal,633,1009,10
withdrawal,275,1010,4
deposit,381,1011,6
deposit,897,1012,18
deposit,854,1013,5
deposit,529,1014,16
deposit,565,1016,15
deposit,308,1017,7
withdrawal,290,1019,6
deposit,291,1020,2
withdrawal,627,1021,1
deposit,626,1022,6
deposit,639,1023,9
deposit,166,1024,5
withdrawal,780,1025,18
deposit,400,1026,4
withdrawal,948,1027,9
deposit,804,1028,16
dispute,179,111
deposit,151,1030,9
deposit,931,1031,13
deposit,205,1032,14
deposit,886,1033,9
deposit,836,1034,18
resolve,179,111
deposit,519,1036,18
withdrawal,503,1037,16
deposit,272,1038,7
deposit,597,1039,1
withdrawal,950,1040,16
withdrawal,909,1041,4
withdrawal,419,1042,13
deposit,853,1043,11
deposit,193,1044,12
deposit,323,1045,15
withdrawal,646,1046,0
withdrawal,173,1047,8
dispute,894,539
deposit,366,1050,6
deposit,148,1051,2
deposit,633,1053,7
dispute,739,886
deposit,586,1055,9
chargeback,894,539
deposit,599,1057,16
deposit,397,1058,10
withdrawal,408,1059,12
withdrawal,269,1060,4
deposit,267,1061,6
deposit,151,1062,4
withdrawal,95,1063,3
deposit,308,1064,11
deposit,900,1065,5
withdrawal,249,1066,1
dispute,766,43
withdrawal,716,1068,1
withdrawal,549,1069,7
withdrawal,876,1070,9
deposit,174,1071,17
withdrawal,778,1072,9
resolve,739,886
withdrawal,332,1074,8
withdrawal,307,1075,18
deposit,367,1076,18
dispute,236,267
deposit,121,1078,16
withdrawal,858,1079,8
deposit,566,1080,0
deposit,296,1081,10
withdrawal,691,1082,7
deposit,690,1083,0
deposit,737,1084,10
withdrawal,264,1085,13
withdrawal,271,1086,11
deposit,524,1087,16
deposit,112,1088,3
withdrawal,676,1089,14
withdrawal,41,1090,13
withdrawal,403,1091,3
deposit,237,1092,15
deposit,76,1093,9
withdrawal,811,1094,3
deposit,233,1096,11
withdrawal,123,1097,3
withdrawal,399,1098,5
withdrawal,108,1099,13
deposit,996,1100,7
withdrawal,853,1101,8
withdrawal,462,1102,8
withdrawal,606,1104,2
dispute,518,576
withdrawal,800,1106,10
deposit,190,1107,7
deposit,980,1108,14
dispute,415,749
withdrawal,828,1110,6
deposit,547,1111,4
deposit,568,1112,3
deposit,578,1113,2
deposit,250,1114,10
withdrawal,976,1115,19
deposit,358,1116,10
withdrawal,277,1117,9
withdrawal,146,1118,18
withdrawal,453,1119,15
withdrawal,634,1120,14
withdrawal,897,1122,19
deposit,551,1123,14
deposit,963,1124,17
deposit,687,1125,0
withdrawal,745,1126,9
withdrawal,966,1127,13
deposit,520,1128,4
withdrawal,155,1129,8
withdrawal,901,1130,8
withdrawal,815,1131,7
dispute,876,1070
withdrawal,718,1133,5
withdrawal,704,1134,9
deposit,221,1135,4
withdrawal,187,1136,5
withdrawal,251,1137,8
withdrawal,827,1138,12
deposit,601,1139,3
chargeback,766,43
withdrawal,960,1141,5
withdrawal,638,1142,1
resolve,236,267
deposit,821,1144,3
deposit,115,1145,10
dispute,149,77
withdrawal,694,1147,12
deposit,319,1148,11
withdrawal,373,1149,5
deposit,119,1150,17
deposit,450,1151,5
deposit,90,1152,7
withdrawal,306,1153,12
deposit,521,1154,14
resolve,876,1070
deposit,727,1156,4
deposit,521,1157,14
deposit,990,1158,1
deposit,565,1160,14
withdrawal,240,1161,0
withdrawal,909,1162,1
deposit,510,1163,12
deposit,921,1164,3
deposit,621,1165,1
withdrawal,190,1166,13
dispute,284,621
deposit,917,1168,8
withdrawal,576,1169,12
chargeback,415,749
withdrawal,163,1171,19
deposit,908,1172,8
withdrawal,832,1173,2
deposit,960,1174,15
withdrawal,191,1175,0
withdrawal,368,1176,9
deposit,678,1177,3
deposit,427,1179,0
withdrawal,831,1180,0
dispute,511,547
deposit,934,1182,3
deposit,809,1183,3
chargeback,518,576
deposit,194,1185,19
deposit,577,1186,14
withdrawal,287,1187,16
deposit,777,1188,10
dispute,1,80
deposit,67,1190,12
deposit,93,1191,5
deposit,582,1192,0
withdrawal,22,1193,12
withdrawal,343,1194,3
deposit,987,1195,2
withdrawal,814,1196,2
resolve,511,547
deposit,259,1198,14
deposit,323,1199,17
chargeback,284,621
withdrawal,277,1201,10
deposit,133,1202,4
withdrawal,371,1203,16
deposit,94,1204,9
withdrawal,918,1205,16
withdrawal,631,1206,7
withdrawal,892,1207,17
resolve,149,77
deposit,710,1209,19
withdrawal,346,1210,15
deposit,383,1211,14
deposit,950,1212,6
withdrawal,670,1213,15
withdrawal,495,1214,18
withdrawal,76,1215,8
deposit,896,1216,15
withdrawal,389,1217,9
withdrawal,617,1218,1
deposit,788,1219,19
withdrawal,22,1220,9
deposit,113,1221,6
withdrawal,240,1222,9
deposit,891,1223,5
withdrawal,604,1224,3
withdrawal,469,1225,0
deposit,2,1226,18
withdrawal,666,1227,15
withdrawal,964,1228,19
withdrawal,217,1229,13
withdrawal,763,1230,13
deposit,301,1231,0
deposit,489,1232,11
withdrawal,598,1233,6
withdrawal,391,1234,17
withdrawal,932,1235,8
deposit,95,1236,15
withdrawal,422,1237,19
dispute,5,844
deposit,743,1239,10
deposit,369,1240,1
deposit,703,1241,15
deposit,655,1242,17
deposit,644,1243,17
resolve,1,80
withdrawal,794,1245,12
deposit,350,1246,17
withdrawal,886,1247,1
withdrawal,778,1248,8
dispute,135,479
deposit,678,1250,5
withdrawal,714,1251,11
withdrawal,572,1252,4
withdrawal,963,1253,3
withdrawal,305,1254,6
deposit,698,1255,18
deposit,363,1256,5
withdrawal,378,1257,8
withdrawal,773,1258,14
withdrawal,247,1259,17
deposit,748,1260,4
deposit,405,1261,3
deposit,145,1262,1
deposit,731,1263,16
withdrawal,28,1264,6
withdrawal,217,1265,0
withdrawal,576,1266,10
deposit,911,1267,13
deposit,398,1268,11
withdrawal,420,1269,15
deposit,903,1270,16
deposit,619,1271,5
deposit,202,1272,8
deposit,94,1273,10
deposit,268,1274,11
withdrawal,457,1275,9
withdrawal,638,1276,9
chargeback,5,844
withdrawal,287,1278,6
deposit,568,1279,0
deposit,599,1280,19
deposit,615,1282,17
withdrawal,87,1283,19
deposit,859,1284,17
deposit,981,1285,1
deposit,765,1286,3
withdrawal,691,1287,7
deposit,483,1288,0
deposit,967,1289,17
deposit,391,1290,14
withdrawal,100,1291,11
deposit,362,1292,0
dispute,626,1022
deposit,762,1294,8
deposit,824,1295,9
deposit,991,1296,19
withdrawal,936,1297,2
withdrawal,961,1298,10
deposit,489,1299,13
withdrawal,69,1300,7
deposit,236,1301,14
deposit,691,1302,13
withdrawal,120,1303,4
withdrawal,280,1304,13
withdrawal,725,1305,15
deposit,945,1306,3
deposit,819,1307,11
withdrawal,832,1308,19
withdrawal,225,1309,13
deposit,568,1310,2
deposit,211,1311,12
deposit,956,1312,7
deposit,181,1313,19
deposit,49,1314,4
deposit,603,1315,13
withdrawal,281,1316,17
deposit,192,1317,13
withdrawal,752,1318,11
deposit,45,1319,15
deposit,201,1320,2
withdrawal,658,1321,6
chargeback,135,479
deposit,68,1323,15
withdrawal,921,1324,13
deposit,757,1325,8
withdrawal,264,1326,6
withdrawal,525,1327,2
deposit,74,1328,5
deposit,587,1329,1
withdrawal,92,1330,16
deposit,52,1331,0
withdrawal,53,1332,7
