client,available,held,total,locked
402,-18,0,-18,true
403,-19,0,-19,true
404,31,0,31,true
405,0,0,0,true
406,22,0,22,true
407,-70,0,-70,true
408,-36,0,-36,true
409,-21,0,-21,true
410,24,0,24,true
411,23,0,23,true
412,121,0,121,true
413,-19,0,-19,true
414,14,0,14,true
415,17,0,17,true
416,33,0,33,true
417,19,0,19,true
418,-5,0,-5,true
419,87,0,87,true
420,29,0,29,true
421,61,0,61,true
422,-12,0,-12,true
423,31,0,31,true
424,7,0,7,true
425,25,0,25,true
426,-9,0,-9,true
427,31,0,31,true
428,122,0,122,true
429,117,0,117,true
430,33,0,33,true
431,-8,0,-8,true
432,0,0,0,true
433,-7,0,-7,true
434,-111,17,-94,true
435,129,0,129,true
436,9,0,9,true
437,41,0,41,true
438,71,0,71,true
439,36,0,36,true
440,44,0,44,true
441,-6,0,-6,true
442,74,0,74,true
443,39,0,39,true
444,12,0,12,true
445,83,0,83,true
446,53,0,53,true
447,30,0,30,true
448,52,0,52,true
449,-36,0,-36,true
450,1,0,1,true
451,-44,0,-44,true
452,-36,0,-36,true
453,130,0,130,true
454,39,0,39,true
455,2,0,2,true
456,-6,0,-6,true
457,18,0,18,true
458,-4,0,-4,true
459,67,0,67,true
460,-27,0,-27,true
461,99,0,99,true
462,61,0,61,true
463,13,0,13,true
464,67,0,67,true
465,-5,0,-5,true
466,5,0,5,true
467,160,0,160,true
468,-115,0,-115,true
469,32,0,32,true
470,38,0,38,true
471,5,0,5,true
472,100,14,114,true
473,11,0,11,true
474,-9,0,-9,true
475,233,0,233,true
476,119,0,119,true
477,-23,0,-23,true
478,22,0,22,true
479,114,0,114,true
480,77,0,77,true
481,28,0,28,true
482,2,0,2,true
483,-2,0,-2,true
484,-8,0,-8,true
485,59,0,59,true
486,-17,0,-17,true
487,40,0,40,true
488,158,0,158,true
489,18,0,18,true
490,50,0,50,true
491,41,0,41,true
492,65,0,65,true
493,-34,0,-34,true
494,-56,0,-56,true
495,-29,0,-29,true
496,28,0,28,true
497,5,0,5,true
498,-13,0,-13,true
499,2,0,2,true
500,-52,0,-52,true
501,-2,0,-2,true
502,18,0,18,true
503,12,0,12,true
504,30,0,30,true
505,34,0,34,true
506,54,0,54,true
507,52,0,52,true
508,69,0,69,true
509,26,0,26,true
510,33,0,33,true
511,84,0,84,true
512,134,0,134,true
513,90,0,90,true
514,16,0,16,true
515,44,0,44,true
516,-58,0,-58,true
517,41,0,41,true
518,-9,0,-9,true
519,7,0,7,true
520,-1,0,-1,true
521,135,0,135,true
522,8,0,8,true
523,71,0,71,true
524,11,0,11,true
525,26,0,26,true
526,3,0,3,true
527,195,0,195,true
528,10,0,10,true
529,13,0,13,true
530,-13,0,-13,true
531,-55,0,-55,true
532,61,0,61,true
533,125,0,125,true
534,-28,0,-28,true
535,137,0,137,true
536,0,0,0,true
537,42,0,42,true
538,21,0,21,true
539,-67,0,-67,true
540,-48,0,-48,true
541,-31,0,-31,true
542,52,0,52,true
543,41,0,41,true
544,121,0,121,true
545,62,0,62,true
546,3,0,3,true
547,-3,0,-3,true
548,67,0,67,true
549,19,0,19,true
550,96,0,96,true
551,88,0,88,true
552,-6,0,-6,true
553,-1,0,-1,true
554,20,0,20,true
555,-19,0,-19,true
556,38,0,38,true
557,-28,0,-28,true
558,190,0,190,true
559,60,0,60,true
560,139,0,139,true
561,114,0,114,true
562,52,0,52,true
563,15,0,15,true
564,-31,0,-31,true
565,21,0,21,true
566,72,0,72,true
567,-9,0,-9,true
568,181,0,181,true
569,230,0,230,true
570,49,0,49,true
571,59,0,59,true
572,4,0,4,true
573,-26,0,-26,true
574,27,0,27,true
575,82,0,82,true
576,23,0,23,true
577,71,0,71,true
578,170,0,170,true
579,-31,0,-31,true
580,62,0,62,true
581,35,0,35,true
582,-26,0,-26,true
583,9,0,9,true
584,28,0,28,true
585,30,0,30,true
586,60,0,60,true
587,32,0,32,true
588,48,0,48,true
589,-5,0,-5,true
590,-28,0,-28,true
591,-14,0,-14,true
592,31,0,31,true
593,-15,0,-15,true
594,-61,0,-61,true
595,-25,0,-25,true
596,6,0,6,true
597,67,0,67,true
598,-58,0,-58,true
599,46,0,46,true
600,205,0,205,true
601,46,0,46,true
602,-59,0,-59,true
603,98,0,98,true
604,-22,0,-22,true
605,144,0,144,true
606,143,0,143,true
607,-6,0,-6,true
608,3,0,3,true
609,59,0,59,true
610,-12,0,-12,true
611,41,0,41,true
612,91,0,91,true
613,44,0,44,true
614,81,0,81,true
615,-21,0,-21,true
616,168,0,168,true
617,-41,0,-41,true
618,117,0,117,true
619,29,0,29,true
620,-49,0,-49,true
621,68,0,68,true
622,19,0,19,true
623,0,0,0,true
624,35,0,35,true
625,25,0,25,true
626,27,0,27,true
627,30,0,30,true
628,-61,0,-61,true
629,-24,0,-24,true
630,18,0,18,true
631,22,0,22,true
632,-9,0,-9,true
633,-43,0,-43,true
634,-42,0,-42,true
635,73,0,73,true
636,-14,0,-14,true
637,200,12,212,true
638,25,0,25,true
639,-7,0,-7,true
640,-7,0,-7,true
641,44,0,44,true
642,-5,0,-5,true
643,22,0,22,true
644,17,0,17,true
645,0,0,0,true
646,-84,0,-84,true
647,74,0,74,true
648,116,0,116,true
649,88,0,88,true
650,2,0,2,true
651,-44,0,-44,true
652,30,0,30,true
653,32,0,32,true
654,30,0,30,true
655,-13,0,-13,true
656,-51,0,-51,true
657,33,0,33,true
658,-43,0,-43,true
659,-5,0,-5,true
660,-45,0,-45,true
661,-8,0,-8,true
662,22,0,22,true
663,161,0,161,true
664,32,0,32,true
665,93,0,93,true
666,202,0,202,true
667,0,0,0,true
668,170,0,170,true
669,-41,0,-41,true
670,92,0,92,true
671,19,0,19,true
672,60,0,60,true
673,27,0,27,true
674,48,0,48,true
675,28,0,28,true
676,66,0,66,true
677,35,0,35,true
678,54,0,54,true
679,9,0,9,true
680,-85,0,-85,true
681,84,0,84,true
682,136,0,136,true
683,10,0,10,true
684,0,0,0,true
685,-36,0,-36,true
686,-48,0,-48,true
687,2,0,2,true
688,35,0,35,true
689,186,0,186,true
690,-2,0,-2,true
691,77,0,77,true
692,8,0,8,true
693,50,0,50,true
694,11,0,11,true
695,27,0,27,true
696,-13,0,-13,true
697,49,0,49,true
698,50,0,50,true
699,-15,0,-15,true
700,178,0,178,true
701,105,0,105,true
702,16,0,16,true
703,-25,0,-25,true
704,-30,0,-30,true
705,9,0,9,true
706,91,0,91,true
707,45,0,45,true
708,-7,0,-7,true
709,29,0,29,true
710,37,0,37,true
711,-16,0,-16,true
712,-39,0,-39,true
713,7,0,7,true
714,10,0,10,true
715,76,0,76,true
716,42,0,42,true
717,0,0,0,true
718,15,0,15,true
719,-54,0,-54,true
720,-6,0,-6,true
721,8,0,8,true
722,141,0,141,true
723,-5,0,-5,true
724,14,0,14,true
725,5,0,5,true
726,31,0,31,true
727,35,0,35,true
728,7,0,7,true
729,112,0,112,true
730,77,0,77,true
731,51,0,51,true
732,10,0,10,true
733,90,0,90,true
734,24,0,24,true
735,19,0,19,true
736,22,0,22,true
737,-8,0,-8,true
738,221,0,221,true
739,-17,0,-17,true
740,146,0,146,true
741,55,0,55,true
742,46,0,46,true
743,123,0,123,true
744,50,0,50,true
745,105,0,105,true
746,-19,0,-19,true
747,-21,0,-21,true
748,36,0,36,true
749,20,0,20,true
750,53,0,53,true
751,-26,0,-26,true
752,24,0,24,true
753,83,0,83,true
754,2,0,2,true
755,30,0,30,true
756,-46,0,-46,true
757,58,0,58,true
758,7,0,7,true
759,68,0,68,true
760,93,0,93,true
761,-40,0,-40,true
762,42,0,42,true
763,-19,1,-18,true
764,219,0,219,true
765,102,0,102,true
766,0,0,0,true
767,-5,0,-5,true
768,-5,0,-5,true
769,26,0,26,true
770,125,0,125,true
771,-19,0,-19,true
772,-65,0,-65,true
773,109,0,109,true
774,-11,0,-11,true
775,35,0,35,true
776,0,0,0,true
777,114,0,114,true
778,6,0,6,true
779,16,0,16,true
780,111,0,111,true
781,21,0,21,true
782,74,0,74,true
783,20,0,20,true
784,-46,0,-46,true
785,-38,0,-38,true
786,-13,0,-13,true
787,30,0,30,true
788,53,0,53,true
789,42,0,42,true
790,119,0,119,true
791,-1,0,-1,true
792,14,0,14,true
793,100,0,100,true
794,-1,0,-1,true
795,19,0,19,true
796,-15,0,-15,true
797,30,0,30,true
798,0,0,0,true
799,16,0,16,true
800,-26,0,-26,true
801,-18,0,-18,true
802,0,0,0,true
803,-100,0,-100,true
804,-14,0,-14,true
805,29,0,29,true
806,78,0,78,true
807,25,0,25,true
808,-3,0,-3,true
809,-1,0,-1,true
810,100,0,100,true
811,29,0,29,true
812,18,0,18,true
813,-67,0,-67,true
814,103,0,103,true
815,-26,0,-26,true
816,-23,0,-23,true
817,-37,0,-37,true
818,-6,0,-6,true
819,3,0,3,true
820,-66,0,-66,true
821,54,0,54,true
822,95,0,95,true
823,80,0,80,true
824,16,0,16,true
825,146,0,146,true
826,144,0,144,true
827,46,0,46,true
828,-5,0,-5,true
829,67,0,67,true
830,149,0,149,true
831,104,0,104,true
832,-39,0,-39,true
833,-118,0,-118,true
834,20,0,20,true
835,74,0,74,true
836,49,0,49,true
837,-34,0,-34,true
838,126,0,126,true
839,43,0,43,true
840,42,0,42,true
841,72,0,72,true
842,185,0,185,true
843,75,0,75,true
844,-9,0,-9,true
845,61,0,61,true
846,209,0,209,true
847,19,0,19,true
848,10,0,10,true
849,17,0,17,true
850,26,0,26,true
851,35,0,35,true
852,-115,0,-115,true
853,-8,0,-8,true
854,98,0,98,true
855,23,0,23,true
856,225,0,225,true
857,22,0,22,true
858,56,0,56,true
859,183,0,183,true
860,103,0,103,true
861,-86,0,-86,true
862,-135,0,-135,true
863,85,0,85,true
864,0,0,0,true
865,266,0,266,true
866,-19,0,-19,true
867,-14,0,-14,true
868,71,0,71,true
869,0,0,0,true
870,-24,0,-24,true
871,37,0,37,true
872,168,0,168,true
873,17,0,17,true
874,25,0,25,true
875,53,0,53,true
876,96,0,96,true
877,-30,0,-30,true
878,173,0,173,true
879,104,0,104,true
880,36,0,36,true
881,181,0,181,true
882,11,0,11,true
883,0,0,0,true
884,-50,0,-50,true
885,4,0,4,true
886,46,0,46,true
887,-19,0,-19,true
888,-19,0,-19,true
889,90,0,90,true
890,9,0,9,true
891,50,0,50,true
892,-67,0,-67,true
893,167,0,167,true
894,0,0,0,true
895,15,0,15,true
896,-36,0,-36,true
897,29,0,29,true
898,-46,0,-46,true
899,15,0,15,true
900,29,0,29,true
901,-3,0,-3,true
902,98,0,98,true
903,92,0,92,true
904,32,0,32,true
905,116,0,116,true
906,134,0,134,true
907,76,0,76,true
908,39,0,39,true
909,212,11,223,true
910,-25,0,-25,true
911,-19,0,-19,true
912,120,0,120,true
913,151,0,151,true
914,216,0,216,true
915,91,0,91,true
916,70,0,70,true
917,106,0,106,true
918,-9,0,-9,true
919,-1,0,-1,true
920,124,0,124,true
921,0,0,0,true
922,58,0,58,true
923,21,0,21,true
924,67,0,67,true
925,-11,0,-11,true
926,106,0,106,true
927,52,0,52,true
928,0,0,0,true
929,132,0,132,true
930,72,0,72,true
931,15,0,15,true
932,-11,0,-11,true
933,40,0,40,true
934,85,0,85,true
935,-119,0,-119,true
936,55,0,55,true
937,156,0,156,true
938,152,0,152,true
939,107,0,107,true
940,-62,0,-62,true
941,8,0,8,true
942,-67,0,-67,true
943,368,0,368,true
944,-4,0,-4,true
945,9,0,9,true
946,-8,0,-8,true
947,-37,0,-37,true
948,179,0,179,true
949,5,0,5,true
950,-11,0,-11,true
951,-58,0,-58,true
952,85,0,85,true
953,75,0,75,true
954,23,0,23,true
955,33,0,33,true
956,-21,0,-21,true
957,15,0,15,true
958,57,0,57,true
959,12,0,12,true
960,10,0,10,true
961,40,0,40,true
962,16,0,16,true
963,34,0,34,true
964,137,0,137,true
965,48,0,48,true
966,-14,0,-14,true
967,23,0,23,true
968,192,0,192,true
969,12,0,12,true
970,63,0,63,true
971,61,0,61,true
972,-26,0,-26,true
973,-72,0,-72,true
974,15,0,15,true
975,0,0,0,true
976,54,0,54,true
977,31,0,31,true
978,-15,0,-15,true
979,26,0,26,true
980,-5,0,-5,true
981,41,0,41,true
982,0,0,0,true
983,13,0,13,true
984,-14,0,-14,true
985,133,0,133,true
986,-15,0,-15,true
987,2,0,2,true
988,-34,0,-34,true
989,152,0,152,true
990,97,0,97,true
991,-4,0,-4,true
992,7,0,7,true
993,-43,0,-43,true
994,18,0,18,true
995,116,0,116,true
996,173,0,173,true
997,17,0,17,true
998,0,0,0,true
999,22,0,22,true
